player,team_home,shot_type,situation,body_part,x,y,xg,minute,distance_to_goal,count
Tom Fellows,True,save,assisted,right-foot,6.7,69.7,0,90,20.808171471804055,1
Riccardo Calafiori,False,miss,set-piece,left-foot,15.3,53.0,0,90,15.59134375222354,1
Noni Madueke,False,miss,regular,left-foot,11.7,69.7,0,90,22.91244203484212,1
Gabriel Martinelli,False,save,fast-break,right-foot,14.3,33.2,0,90,22.06195820864503,1
Viktor Gyökeres,False,block,free-kick,right-foot,30.0,49.3,0,90,30.008165555395085,1
Shea Charles,True,goal,assisted,right-foot,14.1,53.4,0,85,14.504137340772804,1
Gabriel Martinelli,False,miss,corner,right-foot,18.5,44.2,0,84,19.38788281375767,1
Max Dowman,False,save,assisted,left-foot,19.7,66.0,0,83,25.37892826736385,1
Viktor Gyökeres,False,goal,assisted,right-foot,8.8,47.4,0,68,9.17605579756357,1
Max Dowman,False,block,assisted,left-foot,11.0,58.1,0,67,13.660527076214885,1
Leo Scienza,True,post,assisted,right-foot,14.0,26.7,0,61,27.182531155137116,1
Tom Fellows,True,miss,regular,right-foot,16.3,61.5,0,60,19.94843352245985,1
Gabriel Martinelli,False,block,corner,right-foot,3.6,34.6,0,54,15.81518257877537,1
Max Dowman,False,block,assisted,left-foot,11.6,66.9,0,53,20.49804868761903,1
Gabriel Jesus,False,miss,set-piece,head,12.4,44.3,0,50,13.647344063956183,1
Christian Nørgaard,False,save,assisted,right-foot,18.7,64.4,0,45,23.6019067026374,1
Finn Azaz,True,miss,regular,left-foot,17.5,62.4,0,42,21.4478437144623,1
Finn Azaz,True,save,regular,right-foot,27.3,58.5,0,40,28.592656399852043,1
Ross Stewart,True,goal,fast-break,right-foot,11.7,41.5,0,35,14.461673485458036,1
Kai Havertz,False,block,assisted,left-foot,21.8,66.9,0,31,27.583509566405798,1
Max Dowman,False,save,assisted,right-foot,8.3,70.9,0,29,22.4877744563574,1
Martin Ødegaard,False,miss,assisted,left-foot,12.2,47.4,0,26,12.47397290361014,1
Martin Ødegaard,False,save,assisted,left-foot,22.2,66.7,0,25,27.780028797681258,1
Max Dowman,False,block,corner,left-foot,8.9,57.6,0,24,11.703418304068261,1
Gabriel Magalhães,False,block,corner,left-foot,17.3,54.4,0,17,17.85077029150283,1
Max Dowman,False,block,corner,left-foot,16.4,47.9,0,17,16.53390456002453,1
Gabriel Jesus,False,miss,corner,head,6.4,52.3,0,11,6.800735254367721,1
Gabriel Martinelli,False,block,corner,right-foot,19.5,52.7,0,10,19.686035659827503,1
Gabriel Martinelli,False,block,assisted,right-foot,9.9,31.7,0,9,20.806249061279644,1
Tom Fellows,True,block,fast-break,left-foot,15.5,61.4,0,8,19.240841977418764,1
Max Dowman,False,save,assisted,left-foot,20.1,62.9,0,6,23.883467084994173,1
